rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
5,16,50,full_threshold_0p5,33,27,15,14
5,16,50,cropped_threshold_0p5,23,19,15,14
5,16,50,cropped_calibrated,4,2,2,1
5,16,50,cropped_fixed_budget,44,45,38,41
5,17,68,full_threshold_0p5,24,22,19,19
5,17,68,cropped_threshold_0p5,24,22,19,19
5,17,68,cropped_calibrated,3,2,3,2
5,17,68,cropped_fixed_budget,39,45,37,44
5,18,65,full_threshold_0p5,14,13,10,11
5,18,65,cropped_threshold_0p5,13,12,9,10
5,18,65,cropped_calibrated,2,1,2,1
5,18,65,cropped_fixed_budget,33,45,26,40
5,19,96,full_threshold_0p5,76,78,76,78
5,19,96,cropped_threshold_0p5,74,76,74,76
5,19,96,cropped_calibrated,5,4,5,4
5,19,96,cropped_fixed_budget,49,45,22,21
6,0,30,full_threshold_0p5,98,98,98,98
6,0,30,cropped_threshold_0p5,30,30,30,30
6,0,30,cropped_calibrated,3,2,3,2
6,0,30,cropped_fixed_budget,30,45,30,45
6,1,71,full_threshold_0p5,98,4740,98,4740
6,1,71,cropped_threshold_0p5,71,2472,71,2472
6,1,71,cropped_calibrated,71,1769,71,1769
6,1,71,cropped_fixed_budget,44,45,31,34
6,2,73,full_threshold_0p5,61,58,33,35
6,2,73,cropped_threshold_0p5,59,56,33,35
6,2,73,cropped_calibrated,3,2,3,2
6,2,73,cropped_fixed_budget,51,45,26,26
6,3,92,full_threshold_0p5,28,26,23,23
6,3,92,cropped_threshold_0p5,26,25,23,23
6,3,92,cropped_calibrated,5,4,5,4
6,3,92,cropped_fixed_budget,49,45,28,30
6,4,86,full_threshold_0p5,84,139,82,138
6,4,86,cropped_threshold_0p5,79,132,79,132
6,4,86,cropped_calibrated,6,4,4,3
6,4,86,cropped_fixed_budget,42,45,38,43
6,5,25,full_threshold_0p5,21,20,19,19
6,5,25,cropped_threshold_0p5,18,18,18,18
6,5,25,cropped_calibrated,3,2,3,2
6,5,25,cropped_fixed_budget,25,45,25,45
6,6,74,full_threshold_0p5,16,16,16,16
6,6,74,cropped_threshold_0p5,16,16,16,16
6,6,74,cropped_calibrated,7,4,3,2
6,6,74,cropped_fixed_budget,40,45,34,41
6,7,23,full_threshold_0p5,30,27,17,17
6,7,23,cropped_threshold_0p5,15,15,15,15
6,7,23,cropped_calibrated,8,6,5,4
6,7,23,cropped_fixed_budget,22,45,22,45
6,8,49,full_threshold_0p5,38,43,32,40
6,8,49,cropped_threshold_0p5,34,39,30,37
6,8,49,cropped_calibrated,6,4,3,2
6,8,49,cropped_fixed_budget,37,45,35,44
6,9,85,full_threshold_0p5,9,9,9,9
6,9,85,cropped_threshold_0p5,9,9,9,9
6,9,85,cropped_calibrated,3,2,3,2
6,9,85,cropped_fixed_budget,42,45,32,39
6,10,74,full_threshold_0p5,65,57,30,31
6,10,74,cropped_threshold_0p5,52,48,30,31
6,10,74,cropped_calibrated,7,5,4,3
6,10,74,cropped_fixed_budget,48,45,28,29
6,11,48,full_threshold_0p5,21,18,9,9
6,11,48,cropped_threshold_0p5,20,17,9,9
6,11,48,cropped_calibrated,2,1,2,1
6,11,48,cropped_fixed_budget,41,45,37,42
6,12,95,full_threshold_0p5,52,50,41,43
6,12,95,cropped_threshold_0p5,50,49,41,43
6,12,95,cropped_calibrated,3,2,3,2
6,12,95,cropped_fixed_budget,48,45,27,28
6,13,58,full_threshold_0p5,17,16,11,13
6,13,58,cropped_threshold_0p5,17,16,11,13
6,13,58,cropped_calibrated,2,1,2,1
6,13,58,cropped_fixed_budget,46,45,15,20
6,14,43,full_threshold_0p5,73,74,68,70
6,14,43,cropped_threshold_0p5,42,44,42,44
6,14,43,cropped_calibrated,2,1,2,1
6,14,43,cropped_fixed_budget,42,45,42,45
6,15,36,full_threshold_0p5,41,37,23,27
6,15,36,cropped_threshold_0p5,23,27,23,27
6,15,36,cropped_calibrated,8,7,8,7
6,15,36,cropped_fixed_budget,35,45,35,45
6,16,50,full_threshold_0p5,17,15,13,12
6,16,50,cropped_threshold_0p5,17,15,13,12
6,16,50,cropped_calibrated,2,1,2,1
6,16,50,cropped_fixed_budget,38,45,36,44
6,17,68,full_threshold_0p5,47,45,23,22
6,17,68,cropped_threshold_0p5,47,45,23,22
6,17,68,cropped_calibrated,5,3,3,2
6,17,68,cropped_fixed_budget,47,45,23,22
6,18,65,full_threshold_0p5,15,15,13,14
6,18,65,cropped_threshold_0p5,13,14,13,14
6,18,65,cropped_calibrated,3,2,3,2
6,18,65,cropped_fixed_budget,34,45,28,41
6,19,96,full_threshold_0p5,24,22,11,12
6,19,96,cropped_threshold_0p5,24,22,11,12
6,19,96,cropped_calibrated,3,2,3,2
